2021-11-05 21:51:32,796 INFO  ExportPropertyManager.cs: 1036 - OnListboxSelectionChanged called. This method no longer throws an Exception. It just silently does nothing. Ok, except for this logging message
2021-11-05 21:51:33,206 INFO  ExportPropertyManager.cs: 1036 - OnListboxSelectionChanged called. This method no longer throws an Exception. It just silently does nothing. Ok, except for this logging message
2021-11-05 21:51:33,569 INFO  ExportPropertyManager.cs: 1036 - OnListboxSelectionChanged called. This method no longer throws an Exception. It just silently does nothing. Ok, except for this logging message
2021-11-05 21:51:33,947 INFO  ExportPropertyManager.cs: 1036 - OnListboxSelectionChanged called. This method no longer throws an Exception. It just silently does nothing. Ok, except for this logging message
2021-11-05 21:51:34,481 INFO  ExportPropertyManager.cs: 1036 - OnListboxSelectionChanged called. This method no longer throws an Exception. It just silently does nothing. Ok, except for this logging message
2021-11-05 21:51:34,903 INFO  ExportPropertyManager.cs: 1036 - OnListboxSelectionChanged called. This method no longer throws an Exception. It just silently does nothing. Ok, except for this logging message
2021-11-05 21:51:35,382 INFO  ExportPropertyManager.cs: 1036 - OnListboxSelectionChanged called. This method no longer throws an Exception. It just silently does nothing. Ok, except for this logging message
2021-11-05 21:51:35,695 INFO  ExportPropertyManager.cs: 1036 - OnListboxSelectionChanged called. This method no longer throws an Exception. It just silently does nothing. Ok, except for this logging message
2021-11-05 21:51:36,155 INFO  ExportPropertyManager.cs: 1036 - OnListboxSelectionChanged called. This method no longer throws an Exception. It just silently does nothing. Ok, except for this logging message
2021-11-05 21:52:02,106 INFO  ExportPropertyManager.cs: 1018 - OnComboboxSelectionChanged called. This method no longer throws an Exception. It just silently does nothing. Ok, except for this logging message
2021-11-05 21:52:24,901 INFO  ExportPropertyManager.cs: 1018 - OnComboboxSelectionChanged called. This method no longer throws an Exception. It just silently does nothing. Ok, except for this logging message
2021-11-05 21:52:26,672 INFO  ExportPropertyManager.cs: 1018 - OnComboboxSelectionChanged called. This method no longer throws an Exception. It just silently does nothing. Ok, except for this logging message
2021-11-05 21:52:28,803 INFO  ExportPropertyManager.cs: 1018 - OnComboboxSelectionChanged called. This method no longer throws an Exception. It just silently does nothing. Ok, except for this logging message
2021-11-05 21:52:30,696 INFO  ExportPropertyManager.cs: 422 - Configuration saved
2021-11-05 21:52:33,617 INFO  ExportHelperExtension.cs: 347 - Creating joint ridar_link
2021-11-05 21:52:33,622 INFO  ExportHelperExtension.cs: 1397 - Fixing components for body_link
2021-11-05 21:52:33,623 INFO  ExportHelperExtension.cs: 1402 - Fixing 23
2021-11-05 21:52:33,630 INFO  ExportHelperExtension.cs: 1409 - Component 23 is already fixed
2021-11-05 21:52:33,968 INFO  ExportHelperExtension.cs: 832 - R1: 0, 0
2021-11-05 21:52:33,968 INFO  ExportHelperExtension.cs: 841 - R2: 0, 0
2021-11-05 21:52:33,968 INFO  ExportHelperExtension.cs: 849 - L1: 0
2021-11-05 21:52:33,969 INFO  ExportHelperExtension.cs: 857 - L2: 0
2021-11-05 21:52:34,232 WARN  ExportHelperExtension.cs: 351 - Creating joint from parent body_link to child ridar_link failed
2021-11-05 21:52:37,091 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [CoordSys] from ¾î¼Àºí¸®1
2021-11-05 21:52:37,096 INFO  ExportHelperExtension.cs: 1136 - Found 27 in ¾î¼Àºí¸®1
2021-11-05 21:52:37,097 INFO  ExportHelperExtension.cs: 1145 - Found 2 features of type [CoordSys] in ¾î¼Àºí¸®1
2021-11-05 21:52:37,097 INFO  ExportHelperExtension.cs: 1148 - Proceeding through assembly components
2021-11-05 21:52:37,098 INFO  ExportHelperExtension.cs: 1160 - 1 components to check
2021-11-05 21:52:37,098 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [CoordSys] from siriya.stp-1
2021-11-05 21:52:37,098 INFO  ExportHelperExtension.cs: 1136 - Found 55 in siriya.stp-1
2021-11-05 21:52:37,099 INFO  ExportHelperExtension.cs: 1145 - Found 0 features of type [CoordSys] in siriya.stp-1
2021-11-05 21:52:37,099 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [RefAxis] from ¾î¼Àºí¸®1
2021-11-05 21:52:37,099 INFO  ExportHelperExtension.cs: 1136 - Found 27 in ¾î¼Àºí¸®1
2021-11-05 21:52:37,100 INFO  ExportHelperExtension.cs: 1145 - Found 0 features of type [RefAxis] in ¾î¼Àºí¸®1
2021-11-05 21:52:37,100 INFO  ExportHelperExtension.cs: 1148 - Proceeding through assembly components
2021-11-05 21:52:37,100 INFO  ExportHelperExtension.cs: 1160 - 1 components to check
2021-11-05 21:52:37,100 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [RefAxis] from siriya.stp-1
2021-11-05 21:52:37,101 INFO  ExportHelperExtension.cs: 1136 - Found 55 in siriya.stp-1
2021-11-05 21:52:37,101 INFO  ExportHelperExtension.cs: 1145 - Found 0 features of type [RefAxis] in siriya.stp-1
2021-11-05 21:52:37,209 INFO  ExportPropertyManager.cs: 1142 - AfterClose called. This method no longer throws an Exception. It just silently does nothing. Ok, except for this logging message
2021-11-05 21:52:47,510 INFO  AssemblyExportForm.cs: 253 - Completing URDF export
2021-11-05 21:52:47,522 INFO  ConfigurationSerialization.cs: 276 - URDF Configuration found
